Маршрут,Оператор,Для чего подходит,Кто подает,Финансирование,Окно / статус на 29.04.2026,Проекты из реестра,Что подготовить первым,Источник,Дата проверки,План подачи с 1 июня 2026,Уверенность / что перепроверить
ФСИ Старт-1,Фонд содействия инновациям,"Технологический MVP, НИОКР, ранняя коммерциализация",Физлицо или малое предприятие по условиям конкурса,до 5 млн ₽; 12 месяцев; без софинансирования на первом этапе,"Актуально / срочно: прием до 01.06.2026, 10:00 мск. Для подачи с 1 июня окно фактически закрывается.",ТП-2026-001; ТП-2026-002; ТП-2026-003; ТП-2026-004; ТП-2026-006; ТП-2026-007; ТП-2026-011; ТП-2026-013; ТП-2026-025; ТП-2026-026; ТП-2026-027,"Паспорт проекта, научно-техническая новизна, описание MVP, рынок, команда, смета, письма пилотных площадок.",https://www.fasie.ru/programs/programma-start/,29.04.2026,Не планировать как июньское окно: подать только полностью готовые пакеты до 01.06; остальные переносить в следующий трек/окно ФСИ.,"Высокая; 01.06 дополнительно проверить дедлайн, форму заявки и требования к заявителю."
ФСИ Старт-Пром,Фонд содействия инновациям,Промышленные и производственные технологические решения,Физлицо или малое предприятие по условиям конкретного конкурса,до 5 млн ₽; без софинансирования,"завершение окна: прием до 12.05.2026, 10:00 мск; после 1 июня считать архивом/заделом.",ТП-2026-027; ТП-2026-015 при гражданском контуре; ТП-2026-002,"Техническое решение, промышленная применимость, расчет себестоимости, план НИОКР, производственный сценарий.",https://fasie.ru/press/fund/start-prom-3/,29.04.2026,Оставить как раннее окно. С июня мониторить повторный набор или смежный промышленный трек ФСИ.,Средняя/высокая; перепроверить возможность повторного набора и точный возраст МСП.
ФСИ УМНИК,Фонд содействия инновациям,НИР молодых исследователей и ранние научно-технические идеи,Молодой исследователь по условиям программы,500 тыс ₽; до 12 месяцев; НИР,Актуально как программа; конкретные региональные и тематические окна проверять отдельно перед подачей.,ТП-2026-025; ТП-2026-026; ТП-2026-027; ТП-2026-018; ТП-2026-007; ТП-2026-005,"Научная новизна, роль автора, план НИР, ожидаемый результат, научный руководитель, краткая презентация.",https://fasie.ru/programs/programma-umnik/,29.04.2026,С июня отобрать студентов/молодых исследователей под 3-5 заявок и проверить региональные окна.,Высокая как маршрут; дату ближайшего регионального отбора проверить отдельно.
ФСИ Студенческий стартап,Фонд содействия инновациям,Студенческий стартап с созданием юрлица и коммерческой гипотезой,"Студенты, аспиранты, ординаторы по условиям конкурса",1 млн ₽; 12 месяцев,завершено: 7-я очередь 2026 принимала заявки до 18.03.2026; мониторить новую очередь/2027.,ТП-2026-025; ТП-2026-026; ТП-2026-027; ТП-2026-018; ТП-2026-007,"Команда, бизнес-гипотеза, MVP, план создания ООО, смета, календарный план, наставник.",https://fasie.ru/programs/programma-studstartup/,29.04.2026,С июня готовить пул студенческих заявок под новую очередь или цикл 2027.,Средняя; проверить появление новой очереди и актуальные номинации.
Новатор Москвы,ДПИР Москвы / Московский инновационный кластер,Премия для инновационных разработок от идеи до готового продукта,"Граждане РФ от 14 лет, индивидуально или команда по условиям премии","призовой фонд 20,7 млн ₽; победителям до 1,5 млн ₽",завершение окна: прием до 05.05.2026; после 1 июня использовать как архив/задел для следующего сезона.,ТП-2026-001; ТП-2026-004; ТП-2026-011; ТП-2026-027; ТП-2026-017; ТП-2026-006,"Короткая презентация, описание технологии, стадия готовности, команда, визуальные материалы, подтверждение московского контура.",https://i.moscow/novator,29.04.2026,Оставить как прошедшее/раннее окно; использовать материалы для МИК и следующего сезона премии.,Высокая по текущему окну; следующий сезон проверить отдельно.
Грант на пилотное тестирование МИК,Московский инновационный кластер,Апробация инновационного решения на городской или партнерской инфраструктуре,Участник Московского инновационного кластера,до 4 млн ₽ для участников межотраслевых кластеров; до 2 млн ₽ для иных участников,"Актуально как маршрут; окно, лимиты и статус участника МИК проверить перед подачей.",ТП-2026-001; ТП-2026-004; ТП-2026-006; ТП-2026-009; ТП-2026-011; ТП-2026-013; ТП-2026-024; ТП-2026-026,"Пилотная площадка, план тестирования, смета, ожидаемые показатели, письмо/интерес пилотной организации.",https://i.moscow/pilot/grant,29.04.2026,"С июня готовить 2-3 пилота: медтех, VR для соцслужб, AI-сервис; сначала проверить статус участника МИК.","Высокая как маршрут; перед подачей проверить доступность лимитов, форму и критерии затрат."
"ПФКИ 2027, первый конкурс",Президентский фонд культурных инициатив,"Культура, искусство, креативные индустрии, XR, музеи, цифровой контент","НКО, коммерческие и муниципальные организации, ИП по условиям конкурса",по условиям конкурса,"Актуально: I конкурс 2027, прием до 30.06.2026, 23:30 мск.",ТП-2026-010; ТП-2026-017; ТП-2026-007 при культурном контенте,"Сценарий проекта, культурный продукт, аудитория, визуалы, партнеры, смета, календарный план.",https://фондкультурныхинициатив.рф/,29.04.2026,Главный июньский приоритет: XR-музеи и цифровая мода; подать до 30.06 при наличии партнера и сметы.,"Высокая; перепроверить положение конкурса, номинации и требования к заявителю."
"РНФ, прикладные и ориентированные исследования",Российский научный фонд,"Научные и прикладные исследования, технологические предложения",Научная группа / организация по условиям конкурса,по конкурсной документации,"Актуально выборочно: часть конкурсов до 22.05.2026, есть окна 11.06.2026 и далее; выбирать конкретный конкурс.",ТП-2026-005; ТП-2026-016; ТП-2026-013; ТП-2026-009; ТП-2026-024; ТП-2026-007,"Научная гипотеза, методика, публикационный план, команда, база исследований, подтверждение научного задела.",https://rscf.ru/contests/,29.04.2026,С июня держать научные заявки только под конкурсы с дедлайном после 01.06 и осенние окна.,Высокая как научный маршрут; обязательно выбрать конкретный конкурс РНФ.
Росмолодежь.Гранты,Росмолодежь,"Молодежные социальные, образовательные, технологические и творческие инициативы","Физлица 14-35 лет, НКО/организации по конкретному конкурсу",обычно до 1 млн ₽ для физлиц; параметры уточнять по сезону,"завершено для 1 сезона 2026: физлица до 15.04.2026, НКО до 02.04.2026; мониторить 2 сезон и форумные окна.",ТП-2026-008; ТП-2026-028; ТП-2026-026; ТП-2026-018; ТП-2026-019; ТП-2026-009,"Календарный план, охват, медиаплан, смета, команда, молодежная аудитория, показатели результата.",https://fadm.gov.ru/directions/grant/,29.04.2026,"С июня упаковать инженерные интенсивы, робототехнику и цифровое портфолио под 2 сезон/форумы.","Высокая как маршрут; проверить форумные, вузовские и региональные окна."
Гранты Первых,Движение Первых,Мероприятия и проектная активность для детей и молодежи,Юрлица и ИП по условиям конкурса,до 10 млн ₽ в конкурсе 2026; параметры следующего цикла уточнять,"завершено: прием 2026 проходил 06.02-10.03.2026, итоги подведены 02.04.2026; готовить следующий цикл.",ТП-2026-008; ТП-2026-028; ТП-2026-026; ТП-2026-019,"Программа мероприятий, детско-молодежная аудитория, наставники, календарь, смета, письма школ/партнеров.",https://будьвдвижении.рф/,29.04.2026,С июня готовить задел на следующий цикл и партнерские письма школ/наставников.,"Средняя/высокая; проверить новый цикл, номинации и требования к юрлицам."
Фонд президентских грантов,ФПГ,Социальные проекты с измеримым общественным эффектом,НКО или проект через НКО-партнера,по условиям конкурса,завершено: 2 конкурс 2026 принимал заявки до 16.03.2026; готовить следующий конкурс.,ТП-2026-003; ТП-2026-007; ТП-2026-009; ТП-2026-012; ТП-2026-024; ТП-2026-008; ТП-2026-013,"Целевая аудитория, социальный эффект, партнеры, смета, календарный план, НКО-контур.",https://президентскиегранты.рф/,29.04.2026,С июня готовить социальный пакет через НКО-партнера под следующий конкурс.,Высокая как маршрут; проверить календарь следующего конкурса и требования к НКО.
ФСИ Старт-Цифровые технологии,Фонд содействия инновациям,"Цифровые продукты, ИИ-сервисы, платформы, EdTech/MedTech software",Физлицо или малое предприятие по условиям конкретного трека,обычно до 5 млн ₽; условия зависят от конкурса,при открытии: текущий прием по треку завершен; мониторить новое окно ФСИ.,ТП-2026-006; ТП-2026-007; ТП-2026-025; ТП-2026-026; ТП-2026-027; ТП-2026-018,"MVP, архитектура, данные, рынок, команда разработки, пилотный пользователь, метрики продукта.",https://www.fasie.ru/programs/programma-start/,29.04.2026,С июня отслеживать открытие и заранее упаковать AI/EdTech проекты.,Средняя; подтвердить наличие именно этого трека и актуальные требования 2026.
ФСИ Старт-Медизделия,Фонд содействия инновациям,"Медицинские изделия, тренажеры, реабилитационные и протезные решения",Физлицо или малое предприятие по условиям конкретного трека,обычно до 5 млн ₽; условия зависят от конкурса,при открытии: текущий прием по треку завершен; мониторить новое окно ФСИ.,ТП-2026-001; ТП-2026-002; ТП-2026-003; ТП-2026-004; ТП-2026-016; ТП-2026-011; ТП-2026-013,"Медицинское ТЗ, класс изделия, пилотная база, риск-анализ, дорожная карта испытаний, этический/правовой контур.",https://www.fasie.ru/programs/programma-start/,29.04.2026,"С июня держать медтех-пакет наготове: пневмоторакс, ортез, стоматология, реабилитационные изделия.",Средняя; подтвердить открытие трека и допустимость образовательных/тренажерных изделий.
ФСИ Старт-ИИ / искусственный интеллект,Фонд содействия инновациям,ИИ-продукты с технологической новизной и коммерческим сценарием,Физлицо или малое предприятие по условиям конкретного трека,обычно до 5 млн ₽; условия зависят от конкурса,при открытии: текущий прием/точный трек проверить; мониторить новое окно ФСИ.,ТП-2026-006; ТП-2026-007; ТП-2026-025; ТП-2026-026; ТП-2026-018,"Датасеты, архитектура модели, MVP, метрики качества, пилотный пользователь, правовой режим данных.",https://fasie.ru/press/fund/start-ai-1-2025/,29.04.2026,"С июня готовить заявки по SmartNurse, сурдопереводу и помощнику преподавателя; ждать окно.","Средняя; проверить точное название конкурса, год и статус приема."
ФСИ Развитие,Фонд содействия инновациям,"Масштабирование НИОКР после MVP, развитие продукта и опытной партии",Малое инновационное предприятие / ООО по условиям конкурса,"до 30 млн ₽; обычно требуется софинансирование, условия уточнять",при открытии / второй эшелон: для МИП с MVP/пилотом; проверять открытый конкурс.,ТП-2026-001; ТП-2026-002; ТП-2026-003; ТП-2026-006; ТП-2026-011; ТП-2026-027,"Результаты пилота, ИС, экономика, производственный план, софинансирование, дорожная карта НИОКР.",https://www.fasie.ru/programs/programma-razvitie/,29.04.2026,"С июня вести как маршрут второго эшелона после Старт/пилота, не как первую подачу.","Средняя; проверить открытые конкурсы, размер гранта и требования к софинансированию."
ФСИ Коммерциализация,Фонд содействия инновациям,"Вывод на рынок, производство, продажи, доработка готового продукта",Малое предприятие с результатами НИОКР и коммерческим потенциалом,до 30 млн ₽; 12 месяцев; софинансирование не менее 50%,Актуально при зрелом продукте: требуется рынок/пилоты/продажи; конкретную очередь проверить перед заявкой.,ТП-2026-001; ТП-2026-002; ТП-2026-003; ТП-2026-004; ТП-2026-006; ТП-2026-011; ТП-2026-027,"Первые продажи/пилоты, IP, производственная смета, финансовая модель, подтверждение софинансирования.",https://fasie.ru/programs/programma-kommertsializatsiya/,29.04.2026,"С июня готовить не как первую подачу, а как следующий этап для зрелых кейсов.","Средняя/высокая; проверить актуальную очередь, требования к выручке и софинансированию."
