ID,Название проекта,Направление,Ответственный,Стадия,Цель проекта,Целевая аудитория/заказчик,Текущий результат,Следующее действие,Маршрут финансирования,Ближайшее окно,Готовность пакета,Риски/блокеры,Нужное решение НТС,Материалы/ссылки,Дата обновления
ТП-2026-001,Разработка медицинского тренажера Пневмоторакс,Медицинские технологии,Ганьшин В.К. / Рекут А.В.,MVP / прототип,,,,"Собрать паспорт, фото прототипа и письма от партнеров",ФСИ Старт-1; Новатор Москвы; пилот МИК,Новатор Москвы до 05.05.2026; Старт-1 до 01.06.2026,64,Необходимо провести исследование эффективности тренажера,,,
ТП-2026-002,Аддитивные технологии в стоматологии,ДПО / Аддитивные технологии,Рекут А.В.,Концепт + прототипирование,,,,Найти стоматологического партнера,ФСИ Старт-1; Старт-Медизделия при открытии; Новатор Москвы,Старт-1 до 01.06.2026,45,Нет подтвержденного внешнего заказчика,,,
ТП-2026-003,Изготовление динамического ортеза,Медицинские технологии,Рекут А.В.,Прототип,,,,"Зафиксировать социальный эффект, целевую группу и протокол апробации",ФСИ Старт-1; ФПГ через НКО-партнера; пилот МИК,Старт-1 до 01.06.2026,36,Нужны доказательства работоспособности решения,,,
ТП-2026-004,Персонифицированные изделия для культи на основе 3D-сканирования,Медицинские технологии,Ганьшин В.К.,Прототипирование,,,,"Собрать кейсы, фото, 3D-сканы и маршрут изготовления",ФСИ Старт-1; пилот МИК; Новатор Москвы,Новатор Москвы до 05.05.2026; Старт-1 до 01.06.2026,29,Нет оформленного набора кейсов,,,
ТП-2026-005,Комплекс медицинских симуляторов совместно с колледжем Медси,Медицинские технологии,Ганьшин В.К.,Концепт / партнерский контур,,,,"Уточнить ТЗ Медси, состав симуляторов и пилотную группу",ФСИ Старт-1; РНФ прикладные исследования; контракт с партнером,РНФ до 22.05.2026; Старт-1 до 01.06.2026,40,Нужен формализованный заказчик,,,
ТП-2026-006,SmartNurse + SmartLab - цифровые решения для сестринского поста и лаборатории,Искусственный интеллект,Ганьшин В.К.,Идея / функциональная схема,,,,"Сформировать сценарии пользователей, MVP и базу данных процессов",ФСИ Старт-1; Старт-Цифровые технологии при открытии; пилот МИК,Старт-1 до 01.06.2026,35,Нужна демонстрация MVP,,,
ТП-2026-007,Равенство по слуху: цифровые аватары для автоматизации сурдоперевода,Искусственный интеллект,Ганьшин В.К.,Прототип / исследование,,,,Уточнить техническую часть у команды и собрать письма от организаций ОВЗ,ФПГ; ФСИ Старт-1; РНФ; ПФКИ для культурного контента,Старт-1 до 01.06.2026; ПФКИ до 30.06.2026,43,Уточнить у Мамадшо состав готовых материалов,,,
ТП-2026-008,Субботняя инженерная мастерская,Промышленный дизайн и инжиниринг,Ганьшин В.К.,Готовая образовательная программа,,,,"Упаковать календарь занятий, охваты, школы и медиаплан",Росмолодежь.Гранты; Гранты Первых; ФПГ,Мониторинг ближайшего молодежного окна,57,Нужна смета и календарный план,,,
ТП-2026-009,Социальный работник в VR,VR/AR/MR,Ганьшин В.К.,Концепт / демо-сценарии,,,,Описать сценарии тренажера и найти площадку социальной апробации,ФПГ; пилот МИК; РНФ прикладные исследования,РНФ до 22.05.2026,14,Нет письма от соцучреждения,,,
ТП-2026-010,Оцифровка и XR-экспозиции для музеев и выставок,VR/AR/MR,Лаборатория CS/AI,Концепт + портфолио,,,,"Собрать визуальный пакет, музейного партнера и сценарий экспозиции",ПФКИ 2027; Новатор Москвы; контракт с музеем,ПФКИ до 30.06.2026,50,Нужен конкретный музейный кейс,,,
